               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  68,            0.033439,             0.01256,                   0,             0.68383,             0.53125,             0.49261,             0.31699,            0.046384,            0.017964,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.036163,              0.0134,                   0,             0.66637,             0.68661,             0.57426,             0.38631,            0.038316,            0.013289,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.033286,            0.012355,                   0,               0.652,             0.71875,             0.61633,             0.37793,            0.035504,            0.012266,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.035148,            0.012322,                   0,              0.7392,             0.62018,             0.61013,             0.37232,            0.037176,            0.013287,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.033476,            0.014369,                   0,             0.51046,             0.61924,             0.44758,             0.24482,             0.04584,            0.015118,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.034539,            0.012803,                   0,             0.63735,             0.65914,              0.5664,             0.32856,            0.042484,             0.01371,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.032225,             0.01263,                   0,             0.68208,              0.6875,             0.60174,             0.40816,            0.037405,            0.012939,                   0,            0.007591,            0.007591,            0.007591
                  75,             0.03212,            0.010653,                   0,             0.67952,             0.65625,             0.61386,             0.37929,            0.038083,            0.013209,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.032276,            0.012402,                   0,             0.61477,             0.65625,              0.5974,             0.40118,            0.038556,            0.013535,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.032022,            0.012211,                   0,             0.79145,             0.65625,             0.67379,             0.37538,             0.04025,            0.012056,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.032758,            0.012831,                   0,             0.69417,              0.7095,             0.62271,             0.38388,            0.036773,             0.01278,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.031654,            0.012567,                   0,             0.64113,               0.625,             0.52274,              0.3074,            0.040422,            0.014053,                   0,            0.007426,            0.007426,            0.007426
                  80,             0.03342,            0.012051,                   0,             0.65034,               0.625,              0.5565,             0.34367,            0.039209,            0.014701,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.033287,             0.01191,                   0,             0.70326,               0.625,             0.60404,             0.37969,            0.038761,            0.013598,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.032867,            0.012537,                   0,             0.69359,             0.65625,             0.61681,             0.36866,            0.038437,            0.012895,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.029476,           0.0098334,                   0,             0.63931,             0.59375,             0.55302,             0.32143,            0.039565,            0.013335,                   0,            0.007294,            0.007294,            0.007294
